modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
SAVEIRO,VOLKSWAGEN,78000.0,24216,manual,flex,Branco,2020,True,ROGÉRIO AUTOMÓVEIS,https://carango.com.br/veiculo/volkswagen-saveiro-2020-1-6-msi-robust-cd-8v-flex-2p-manual-flex-115571,VOLKSWAGEN SAVEIRO 2020 1.6 MSI ROBUST CD 8V FLEX 2P MANUAL - Carango 115571
COROLLA,TOYOTA,134990.0,12203,automatico,flex,Preto,2022,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2022-2-0-vvt-ie-flex-xei-direct-shift-flex-115570,TOYOTA COROLLA 2022 2.0 VVT-IE FLEX XEI DIRECT SHIFT - Carango 115570
GOLF,VOLKSWAGEN,83445.0,138910,automatico,gasolina,Branco,2015,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/volkswagen-golf-2015-1-4-tsi-highline-16v-gasolina-4p-automatico-gasolina-115569,VOLKSWAGEN GOLF 2015 1.4 TSI HIGHLINE 16V GASOLINA 4P AUTOMÁTICO - Carango 115569
PALIO,FIAT,46000.0,20415,manual,flex,Prata,2016,True,RAFA VEÍCULOS,https://carango.com.br/veiculo/fiat-palio-2016-1-6-mpi-essence-16v-flex-4p-manual-flex-115568,FIAT PALIO 2016 1.6 MPI ESSENCE 16V FLEX 4P MANUAL - Carango 115568
GOLF,VOLKSWAGEN,85000.0,107840,automatico,flex,Prata,2014,True,RAFA VEÍCULOS,https://carango.com.br/veiculo/volkswagen-golf-2014-1-4-tsi-highline-16v-gasolina-4p-automatico-flex-115567,VOLKSWAGEN GOLF 2014 1.4 TSI HIGHLINE 16V GASOLINA 4P AUTOMATICO - Carango 115567
SANDERO,RENAULT,35000.0,92542,,flex,Vermelho,2013,True,RAFA VEÍCULOS,https://carango.com.br/veiculo/renault-sandero-2013-1-0-16v-4p-flex-flex-115566,RENAULT SANDERO 2013 1.0 16V 4P FLEX - Carango 115566
TUCSON,HYUNDAI,45000.0,85637,automatico,flex,Prata,2013,True,RAFA VEÍCULOS,https://carango.com.br/veiculo/hyundai-tucson-2013-2-0-mpfi-gls-16v-143cv-2wd-gasolina-4p-automatico-flex-115565,HYUNDAI TUCSON 2013 2.0 MPFI GLS 16V 143CV 2WD GASOLINA 4P AUTOMÁTICO - Carango 115565
A5,AUDI,A Combinar,98311,,gasolina,azul,2015,False,Scuderia Veículos e Pick-ups,https://carango.com.br/veiculo/audi-a5-2015-a5-sportback-1-8-tfsi-170cv-multi--gasolina-115564,AUDI A5 2015 A5 Sportback 1.8 TFSI 170cv Multi. - Carango 115564
COROLLA,TOYOTA,120000.0,75000,automatico,flex,Branco,2021,True,Gilsimar ferreira de miranda,https://carango.com.br/veiculo/toyota-corolla-2021-2-0-vvt-ie-flex-xei-direct-shift-flex-115563,TOYOTA COROLLA 2021 2.0 VVT-IE FLEX XEI DIRECT SHIFT - Carango 115563
208,PEUGEOT,A Combinar,39210,automatico,flex,prata,2021,False,ALIANÇA MULTIMARCAS -MACEIÓ,https://carango.com.br/veiculo/peugeot-208-2021-208-allure-1-6-flex-16v-5p-aut--flex-115562,PEUGEOT 208 2021 208 Allure 1.6 Flex 16V 5p Aut. - Carango 115562
