modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
ONIX,CHEVROLET,81990.0,38758,automatico,flex,Prata,2020,False,Manchete Multimarcas,https://carango.com.br/veiculo/chevrolet-onix-2020-1-0-turbo-flex-lt-4p-automatico-flex-114666,CHEVROLET ONIX 2020 1.0 TURBO FLEX LT 4P AUTOMÁTICO - Carango 114666
SANDERO,RENAULT,24000.0,117922,,flex,Prata,2012,False,Daiana Vanessa de Araujo ,https://carango.com.br/veiculo/renault-sandero-2012-1-0-16v-4p-flex-flex-114663,RENAULT SANDERO 2012 1.0 16V 4P FLEX - Carango 114663
X1,BMW,295990.0,2600,automatico,flex,Branco,2022,False,Manchete Multimarcas,https://carango.com.br/veiculo/bmw-x1-2022-2-0-16v-turbo-activeflex-sdrive20i-4p-automatico-flex-114660,BMW X1 2022 2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO - Carango 114660
320,BMW,239990.0,5491,,gasolina,Preto,2020,False,Manchete Multimarcas,https://carango.com.br/veiculo/bmw-320-i-2020-330i-sport-2-0-tb-16v-4p-gasolina-114659,BMW 320 I 2020 330i Sport 2.0 TB 16V 4p - Carango 114659
Q3,AUDI,128990.0,58224,,flex,Preto,2018,False,Manchete Multimarcas,https://carango.com.br/veiculo/audi-q3-2018-1-4-tfsi-attraction-4p-flex-stronic-flex-114658,AUDI Q3 2018 1.4 TFSI ATTRACTION 4P FLEX STRONIC - Carango 114658
CRUZE,CHEVROLET,127900.0,44000,automatico,flex,Branco,2022,False,Automania Multimarcas - Aracaju,https://carango.com.br/veiculo/chevrolet-cruze-2022-1-4-turbo-ltz-16v-f-4p-automatico-flex-114656,CHEVROLET CRUZE 2022 1.4 TURBO LTZ 16V F 4P AUTOMÁTICO - Carango 114656
308,PEUGEOT,35900.0,123000,manual,flex,Branco,2013,False,Automania Multimarcas - Aracaju,https://carango.com.br/veiculo/peugeot-308-2013-1-6-allure-16v-flex-4p-manual-flex-114655,PEUGEOT 308 2013 1.6 ALLURE 16V FLEX 4P MANUAL - Carango 114655
TORO,FIAT,132000.0,19666,automatico,flex,Preto,2022,False,Mago Automóveis - Aracaju,https://carango.com.br/veiculo/fiat-toro-2022-1-3-turbo-270-flex-endurance-at6-flex-114653,FIAT TORO 2022 1.3 TURBO 270 FLEX ENDURANCE AT6 - Carango 114653
T-CROSS,VOLKSWAGEN,108000.0,59245,automatico,flex,Preto,2020,False,Mago Automóveis - Aracaju,https://carango.com.br/veiculo/volkswagen-t-cross-2020-1-0-200-tsi-comfortline-flex-automatico-flex-114651,VOLKSWAGEN T-CROSS 2020 1.0 200 TSI COMFORTLINE FLEX AUTOMÁTICO - Carango 114651
ECOSPORT,FORD,53000.0,121900,automatico,flex,Branco,2014,False,Mago Automóveis - Aracaju,https://carango.com.br/veiculo/ford-ecosport-2014-1-6-freestyle-16v-flex-4p-automatica-flex-114649,FORD ECOSPORT 2014 1.6 FREESTYLE 16V FLEX 4P AUTOMATICA - Carango 114649
HB20S,HYUNDAI,72000.0,78000,automatico,flex,Branco,2019,False,KM VEÍCULOS,https://carango.com.br/veiculo/hyundai-hb20s-2019-1-6-comfort-plus-16v-flex-4p-automatico-flex-114648,HYUNDAI HB20S 2019 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO - Carango 114648
FIESTA,FORD,A Combinar,,manual,flex,Branco,2014,False,SÃO JOSÉ VEÍCULOS,https://carango.com.br/veiculo/ford-fiesta-2014-1-0-mpi-class-8v-flex-4p-manual-flex-114646,FORD FIESTA 2014 1.0 MPI CLASS 8V FLEX 4P MANUAL - Carango 114646
AIRCROSS,CITROËN,A Combinar,,manual,flex,Branco,2017,False,IP VEICULOS,https://carango.com.br/veiculo/citroen-aircross-2017-1-5-start-8v-flex-4p-manual-flex-114645,CITROËN AIRCROSS 2017 1.5 START 8V FLEX 4P MANUAL - Carango 114645
HR-V,HONDA,A Combinar,,automatico,flex,Branco,2018,False,IP VEICULOS,https://carango.com.br/veiculo/honda-hr-v-2018-1-8-16v-flex-touring-4p-automatico-flex-114644,HONDA HR-V 2018 1.8 16V FLEX TOURING 4P AUTOMÁTICO - Carango 114644
KA,FORD,A Combinar,,automatico,flex,Branco,2021,False,IP VEICULOS,https://carango.com.br/veiculo/ford-ka-2021-1-5-ti-vct-flex-se-automatico-flex-114643,FORD KA 2021 1.5 TI-VCT FLEX SE AUTOMÁTICO - Carango 114643
COMPASS,JEEP,A Combinar,,automatico,diesel,Branco,2017,False,GM Veículos,https://carango.com.br/veiculo/jeep-compass-2017-2-0-16v-diesel-longitude-4x4-automatico-diesel-114642,JEEP COMPASS 2017 2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO - Carango 114642
HB20,HYUNDAI,A Combinar,,manual,flex,Cinza,2020,False,Hyundai Cycosa,https://carango.com.br/veiculo/hyundai-hb20-2020-1-0-12v-flex-sense-manual-flex-114639,HYUNDAI HB20 2020 1.0 12V FLEX SENSE MANUAL - Carango 114639
COMPASS,JEEP,147900.0,74409,automatico,diesel,Prata,2020,False,Taiyo Auto Import,https://carango.com.br/veiculo/jeep-compass-2020-2-0-16v-diesel-limited-4x4-automatico-diesel-114635,JEEP COMPASS 2020 2.0 16V DIESEL LIMITED 4X4 AUTOMÁTICO - Carango 114635
FIT,HONDA,64900.0,86212,automatico,flex,Cinza,2016,False,Taiyo Auto Import,https://carango.com.br/veiculo/honda-fit-2016-1-4-lx-8v-flex-4p-automatico-flex-114634,HONDA FIT 2016 1.4 LX 8V FLEX 4P AUTOMÁTICO  - Carango 114634
SPIN,CHEVROLET,47000.0,82000,manual,flex,2018,2018,False,Jordan Ronald Correia De Araújo,https://carango.com.br/veiculo/chevrolet-spin-2018-1-8-ls-8v-flex-4p-manual-114632,CHEVROLET SPIN 2018 1.8 LS 8V FLEX 4P MANUAL - Carango 114632
KICKS,NISSAN,85000.0,98000,,flex,Vermelho,2019,False,NOSSATERRA SEMINOVOS FIAT / JEEP,https://carango.com.br/veiculo/nissan-kicks-2019-kicks-s-1-6-xtronic-flex-flex-114631,NISSAN KICKS  2019  KICKS S 1.6 XTRONIC FLEX - Carango 114631
HB20,HYUNDAI,64990.0,76158,automatico,flex,Branco,2018,False,Grupo R1 Autos ,https://carango.com.br/veiculo/hyundai-hb20-2018-1-6-comfort-plus-16v-flex-4p-automatico-flex-114628,HYUNDAI HB20 2018 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO - Carango 114628
CRETA,HYUNDAI,82990.0,66902,manual,flex,Prata,2018,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/hyundai-creta-2018-1-6-16v-flex-attitude-manual-flex-114626,HYUNDAI CRETA 2018 1.6 16V FLEX ATTITUDE MANUAL - Carango 114626
XC40,VOLVO,305990.0,8901,,flex,Cinza,2023,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/volvo-xc40-2023-p6-recharge-electric-plus-awd-flex-114625,VOLVO XC40 2023 P6 RECHARGE ELECTRIC PLUS AWD - Carango 114625
COROLLA,TOYOTA,182990.0,11469,automatico,flex,Branco,2022,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-cross-2022-1-8-vvt-i-hybrid-flex-xrx-cvt-flex-114624,TOYOTA COROLLA CROSS 2022 1.8 VVT-I HYBRID FLEX XRX CVT - Carango 114624
COROLLA,TOYOTA,157990.0,57281,automatico,flex,Preto,2022,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2022-1-8-vvt-i-hybrid-flex-altis-cvt-flex-114623,TOYOTA COROLLA 2022 1.8 VVT-I HYBRID FLEX ALTIS CVT - Carango 114623
HILUX,TOYOTA,229990.0,34673,automatico,diesel,Prata,2017,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-hilux-sw4-2017-2-8-srx-4x4-16v-turbo-intercooler-diesel-4p-automatico-diesel-114622,TOYOTA HILUX SW4 2017 2.8 SRX 4X4 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO - Carango 114622
COROLLA,TOYOTA,139990.0,24902,automatico,flex,Preto,2020,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2020-2-0-vvt-ie-flex-altis-direct-shift-flex-114621,TOYOTA COROLLA 2020 2.0 VVT-IE FLEX ALTIS DIRECT SHIFT - Carango 114621
TORO,FIAT,160000.0,,automatico,diesel,Branco,2021,False,JLA Corretora,https://carango.com.br/veiculo/fiat-toro-2021-2-0-16v-turbo-diesel-volcano-4wd-at9-diesel-114620,FIAT TORO 2021 2.0 16V TURBO DIESEL VOLCANO 4WD AT9 - Carango 114620
ETIOS,TOYOTA,59990.0,46696,automatico,flex,Branco,2019,False,TOPCAR Veículos,https://carango.com.br/veiculo/toyota-etios-2019-1-3-x-16v-flex-4p-automatico-gasolina-e-alcool-114617,TOYOTA ETIOS 2019 1.3 X 16V FLEX 4P AUTOMÁTICO - Carango 114617
RENEGADE,JEEP,69990.0,97983,manual,flex,Branco,2016,False,TOPCAR Veículos,https://carango.com.br/veiculo/jeep-renegade-2016-1-8-16v-flex-sport-4p-manual-gasolina-e-alcool-114616,JEEP RENEGADE 2016 1.8 16V FLEX SPORT 4P MANUAL - Carango 114616
GRAND,FIAT,61990.0,39407,manual,flex,Prata,2021,False,TOPCAR Veículos,https://carango.com.br/veiculo/fiat-grand-siena-2021-1-4-mpi-attractive-8v-flex-4p-manual-gasolina-e-alcool-114615,FIAT GRAND SIENA 2021 1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL - Carango 114615
ECOSPORT,FORD,53800.0,78770,manual,flex,Preto,2014,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/ford-ecosport-2014-1-6-freestyle-16v-flex-4p-manual-gasolina-e-alcool-114614,FORD ECOSPORT 2014 1.6 FREESTYLE 16V FLEX 4P MANUAL - Carango 114614
HB20,HYUNDAI,49900.0,130020,manual,flex,Bege,2017,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/hyundai-hb20-2017-1-0-comfort-12v-flex-4p-manual-gasolina-e-alcool-114613,HYUNDAI HB20 2017 1.0 COMFORT 12V FLEX 4P MANUAL - Carango 114613
ARGO,FIAT,A Combinar,111083,,flex,Branco,2019,False,ATLANTIC MULTIMARCAS,https://carango.com.br/veiculo/fiat-argo-2019-1-3-firefly-flex-drive-gsr-flex-114612,FIAT ARGO 2019  1.3 FIREFLY FLEX DRIVE GSR - Carango 114612
POLO,VOLKSWAGEN,A Combinar,,manual,flex,Azul,2018,False,ATLANTIC MULTIMARCAS,https://carango.com.br/veiculo/volkswagen-polo-2018-1-6-msi-total-flex-manual-flex-114611,VOLKSWAGEN POLO 2018 1.6 MSI TOTAL FLEX MANUAL - Carango 114611
COROLLA,TOYOTA,A Combinar,13799,automatico,flex,Branco,2022,False,ROGÉRIO AUTOMÓVEIS,https://carango.com.br/veiculo/toyota-corolla-2022-2-0-vvt-ie-flex-xei-direct-shift-flex-114610,TOYOTA COROLLA 2022 2.0 VVT-IE FLEX XEI DIRECT SHIFT - Carango 114610
STRADA,FIAT,78000.0,30000,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS,https://carango.com.br/veiculo/fiat-strada-2021-1-6-mpi-trekking-cs-8v-gasolina-2p-manual-flex-114609,FIAT STRADA 2021 1.6 MPI TREKKING CS 8V GASOLINA 2P MANUAL - Carango 114609
C3,CITROËN,44000.0,76000,manual,flex,Branco,2017,False,ROGÉRIO AUTOMÓVEIS,https://carango.com.br/veiculo/citroen-c3-2017-1-2-pure-tech-flex-origine-manual-flex-114608,CITROËN C3 2017 1.2 PURE TECH FLEX ORIGINE MANUAL - Carango 114608
POLO,VOLKSWAGEN,69900.0,111123,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS,https://carango.com.br/veiculo/volkswagen-polo-2021-1-6-msi-total-flex-manual-flex-114607,VOLKSWAGEN POLO 2021 1.6 MSI TOTAL FLEX MANUAL - Carango 114607
RANGER,FORD,199000.0,72400000,automatico,diesel,Preto,2021,False,VIA CAR VEÍCULOS,https://carango.com.br/veiculo/ford-ranger-2021-3-2-limited-4x4-cd-20v-diesel-4p-autom-tico-diesel-114606,FORD RANGER 2021 3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOM  TICO - Carango 114606
SAVEIRO,VOLKSWAGEN,69900.0,33306,manual,flex,Branco,2021,False,VIA CAR VEÍCULOS,https://carango.com.br/veiculo/volkswagen-saveiro-2021-1-6-trendline-cd-total-flex-8v-manual-flex-114605,VOLKSWAGEN SAVEIRO 2021 1.6 TRENDLINE CD TOTAL FLEX 8V  MANUAL - Carango 114605
CELTA,CHEVROLET,A Combinar,102000,manual,flex,Preto,2014,False,PIRES AUTOMÓVEIS,https://carango.com.br/veiculo/chevrolet-celta-2014-1-0-mpfi-lt-8v-flex-4p-manual-flex-114604,CHEVROLET CELTA 2014 1.0 MPFI LT 8V FLEX 4P MANUAL - Carango 114604
GLA,MERCEDES-BENZ,138000.0,54974,automatico,flex,Preto,2018,False,Gama Seminovos ,https://carango.com.br/veiculo/mercedes-benz-gla-200-2018-1-6-cgi-style-16v-turbo-gasolina-4p-automatico-flex-114601,MERCEDES-BENZ GLA 200 2018 1.6 CGI STYLE 16V TURBO GASOLINA 4P AUTOMÁTICO - Carango 114601
SANDERO,RENAULT,49990.0,44000,automatico,flex,Branco,2020,False,Podium Automóveis ,https://carango.com.br/veiculo/renault-sandero-2020-1-0-authentique-4p-flex-manual-flex-114600,RENAULT SANDERO 2020  1.0 AUTHENTIQUE 4P FLEX  MANUAL  - Carango 114600
TUCSON,HYUNDAI,47990.0,130000,automatico,flex,Preto,2013,False,Podium Automóveis ,https://carango.com.br/veiculo/hyundai-tucson-2013-2-0-mpfi-gls-16v-143cv-2wd-flex-4p-automatico-flex-114599,HYUNDAI TUCSON 2013 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUTOMÁTICO - Carango 114599
HB20S,HYUNDAI,54990.0,78000,automatico,flex,Preto,2015,False,Podium Automóveis ,https://carango.com.br/veiculo/hyundai-hb20s-2015-1-6-comfort-plus-16v-flex-4p-automatico-flex-114598,HYUNDAI HB20S 2015 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO - Carango 114598
S10,CHEVROLET,96990.0,110000,manual,flex,Prata,2014,False,Podium Automóveis ,https://carango.com.br/veiculo/chevrolet-s10-2014-2-4-lt-4x2-cd-8v-flex-4p-manual-flex-114597,CHEVROLET S10 2014 2.4 LT 4X2 CD 8V FLEX 4P MANUAL - Carango 114597
HB20,HYUNDAI,A Combinar,,manual,flex,Branco,2017,False,REALIZE VEÍCULOS,https://carango.com.br/veiculo/hyundai-hb20-2017-1-6-comfort-16v-flex-4p-manual-flex-114596,HYUNDAI HB20 2017 1.6 COMFORT 16V FLEX 4P MANUAL - Carango 114596
ECOSPORT,FORD,A Combinar,,automatico,flex,Cinza,2020,False,REALIZE VEÍCULOS,https://carango.com.br/veiculo/ford-ecosport-2020-1-5-ti-vct-flex-se-automatico-flex-114595,FORD ECOSPORT 2020 1.5 TI-VCT FLEX SE AUTOMATICO - Carango 114595
HILUX,TOYOTA,A Combinar,,automatico,diesel,Branco,2017,False,REALIZE VEÍCULOS,https://carango.com.br/veiculo/toyota-hilux-2017-2-8-sr-4x4-cd-16v-diesel-4p-automatico-114594,TOYOTA HILUX 2017 2.8 SR 4X4 CD 16V DIESEL 4P AUTOMÁTICO - Carango 114594
320i,BMW,A Combinar,,automatico,flex,Preto,2022,False,REALIZE VEÍCULOS,https://carango.com.br/veiculo/bmw-320i-2022-2-0-16v-turbo-active-flex-4p-automatico-flex-114593,BMW 320i 2022 2.0 16V. TURBO ACTIVE FLEX 4P AUTOMÁTICO - Carango 114593
SANDERO,RENAULT,50990.0,48000,automatico,flex,Prata,2020,False,Podium Automóveis ,https://carango.com.br/veiculo/renault-sandero-2020-1-0-authentique-4p-flex-manual-flex-114586,RENAULT SANDERO 2020  1.0 AUTHENTIQUE 4P FLEX  MANUAL  - Carango 114586
KICKS,NISSAN,A Combinar,84569,,flex,Branco,2017,False,Concorde Veículos - Aracaju,https://carango.com.br/veiculo/nissan-kicks-2017-1-6-16v-flex-sv-4p-xtronic-flex-114580,NISSAN KICKS  2017 1.6 16V FLEX SV 4P XTRONIC - Carango 114580
UP,VOLKSWAGEN,39999.0,,manual,flex,Prata,2015,False,Junior Veículos,https://carango.com.br/veiculo/volkswagen-up-2015-1-0-mpi-take-up-12v-flex-4p-manual-flex-114579,VOLKSWAGEN UP 2015 1.0 MPI TAKE UP 12V FLEX 4P MANUAL - Carango 114579
ECOSPORT,FORD,72000.0,57288,manual,flex,Vermelho,2019,False,Gama Seminovos ,https://carango.com.br/veiculo/ford-ecosport-2019-1-5-se-4p-manual-flex-114577,FORD ECOSPORT 2019 1.5 SE 4P MANUAL - Carango 114577
KICKS,NISSAN,A Combinar,,,flex,Preto,2019,False,Junior Veículos,https://carango.com.br/veiculo/nissan-kicks-2019-1-6-16v-flex-sv-4p-xtronic-flex-114576,NISSAN KICKS  2019 1.6 16V FLEX SV 4P XTRONIC - Carango 114576
NIVUS,VOLKSWAGEN,A Combinar,,automatico,flex,Cinza,2021,False,N.A VEÍCULOS,https://carango.com.br/veiculo/volkswagen-nivus-2021-1-0-200-tsi-flex-highline-automatico-flex-114573,VOLKSWAGEN NIVUS 2021 1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO - Carango 114573
MOBI,FIAT,A Combinar,,manual,flex,Branco,2022,False,Galeguinho Veículos - Maceió,https://carango.com.br/veiculo/fiat-mobi-2022-1-0-evo-flex-like-manual-flex-114571,FIAT MOBI 2022 1.0 EVO FLEX LIKE. MANUAL - Carango 114571
TORO,FIAT,105000.0,,automatico,flex,Prata,2019,False,JLA Corretora,https://carango.com.br/veiculo/fiat-toro-2019-1-8-16v-endurance-flex-4p-automatico-flex-114570,FIAT TORO 2019 1.8 16V ENDURANCE FLEX 4P AUTOMÁTICO - Carango 114570
SPACE,VOLKSWAGEN,42000.0,,manual,flex,Cinza,2013,False,JLA Corretora,https://carango.com.br/veiculo/volkswagen-space-cross-2013-1-6-mi-16v-flex-4p-manual-flex-114569,VOLKSWAGEN SPACE CROSS 2013 1.6 MI 16V FLEX 4P MANUAL - Carango 114569
AIRCROSS,CITROËN,62990.0,41311,manual,flex,Marrom,2018,False,Grupo R1 Autos ,https://carango.com.br/veiculo/citroen-aircross-2018-1-5-salomon-8v-flex-4p-manual-flex-114568,CITROËN AIRCROSS 2018  1.5 SALOMON 8V FLEX 4P MANUAL  - Carango 114568
VOYAGE,VOLKSWAGEN,62000.0,42504,manual,flex,Branco,2022,False,NOSSATERRA SEMINOVOS FIAT / JEEP,https://carango.com.br/veiculo/volkswagen-voyage-2022-1-6-msi-totalflex-4p-manual-flex-114563,VOLKSWAGEN VOYAGE 2022 1.6 MSI TOTALFLEX 4P MANUAL - Carango 114563
CIVIC,HONDA,81990.0,49000,automatico,flex,Preto,2016,False,TOPCAR Veículos,https://carango.com.br/veiculo/honda-civic-2016-2-0-lxr-16v-flex-4p-automatico-gasolina-e-alcool-114561,HONDA CIVIC 2016 2.0 LXR 16V FLEX 4P AUTOMÁTICO - Carango 114561
ONIX,CHEVROLET,A Combinar,68736,manual,flex,Preto,2018,False,Credi-Auto Veículos - Aracaju,https://carango.com.br/veiculo/chevrolet-onix-2018-1-0-flex-lt-manual-flex-114560,CHEVROLET ONIX 2018 1.0 FLEX LT MANUAL - Carango 114560
COROLLA,TOYOTA,124990.0,32604,automatico,flex,Prata,2020,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2020-2-0-vvt-ie-flex-xei-direct-shift-flex-114558,TOYOTA COROLLA 2020 2.0 VVT-IE FLEX XEI DIRECT SHIFT - Carango 114558
RAV4,TOYOTA,216990.0,40503,automatico,flex,Cinza,2020,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-rav4-2020-2-5-vvt-ie-hybrid-s-awd-cvt-flex-114557,TOYOTA RAV4 2020 2.5 VVT-IE HYBRID S AWD CVT - Carango 114557
CRUZE,CHEVROLET,89990.0,52902,automatico,flex,Cinza,2018,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/chevrolet-cruze-2018-1-4-turbo-ltz-16v-flex-4p-automatico-flex-114556,CHEVROLET CRUZE 2018 1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO - Carango 114556
COROLLA,TOYOTA,100100.0,92909,automatico,flex,Prata,2018,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2018-2-0-xei-16v-flex-4p-automatico-flex-114555,TOYOTA COROLLA 2018 2.0 XEI 16V FLEX 4P AUTOMÁTICO - Carango 114555
VERSA,NISSAN,54990.0,42902,manual,flex,Cinza,2017,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/nissan-versa-2017-1-6-16v-flex-sl-4p-manual-flex-114554,NISSAN VERSA 2017 1.6 16V FLEX SL 4P MANUAL - Carango 114554
RANGER,FORD,75000.0,,manual,diesel,Prata,2012,False,JLA Corretora,https://carango.com.br/veiculo/ford-ranger-2012-3-0-xlt-16v-4x2-cd-diesel-4p-manual-diesel-114553,FORD RANGER 2012 3.0 XLT 16V 4X2 CD DIESEL 4P MANUAL - Carango 114553
FRONTIER,NISSAN,82000.0,,automatico,diesel,Preto,2011,False,JLA Corretora,https://carango.com.br/veiculo/nissan-frontier-2011-2-5-se-4x4-cd-turbo-eletronic-diesel-4p-automatico-diesel-114552,NISSAN FRONTIER 2011 2.5 SE 4X4 CD TURBO ELETRONIC DIESEL 4P AUTOMÁTICO - Carango 114552
CLASSIC,CHEVROLET,A Combinar,,manual,flex,Cinza,2015,False,JC VEÍCULOS ,https://carango.com.br/veiculo/chevrolet-classic-2015-1-0-mpfi-ls-8v-flex-4p-manual-flex-114551,CHEVROLET CLASSIC 2015 1.0 MPFI LS 8V FLEX 4P MANUAL - Carango 114551
SORENTO,KIA,60000.0,,automatico,gasolina,Preto,2011,False,JLA Corretora,https://carango.com.br/veiculo/kia-sorento-2011-2-4-16v-gasolina-ex-automatico-gasolina-114550,KIA SORENTO 2011 2.4 16V GASOLINA EX AUTOMATICO - Carango 114550
CITY,HONDA,63800.0,139390,automatico,flex,Prata,2015,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/honda-city-2015-1-5-lx-16v-flex-4p-automatico-gasolina-e-alcool-114549,HONDA CITY 2015 1.5 LX 16V FLEX 4P AUTOMÁTICO - Carango 114549
HB20S,HYUNDAI,53800.0,148660,automatico,flex,Preto,2014,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/hyundai-hb20s-2014-1-6-comfort-plus-16v-flex-4p-automatico-gasolina-e-alcool-114547,HYUNDAI HB20S 2014 1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO - Carango 114547
ONIX,CHEVROLET,94000.0,13300,automatico,flex,Vermelho,2022,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/chevrolet-onix-2022-1-0-turbo-flex-rs-automatico-gasolina-e-alcool-114545,CHEVROLET ONIX 2022 1.0 TURBO FLEX RS AUTOMÁTICO - Carango 114545
CIVIC,HONDA,67900.0,,automatico,flex,Prata,2014,False,SERTANEJO VEÍCULOS,https://carango.com.br/veiculo/honda-civic-2014-2-0-lxr-16v-4p-flex-automatico-flex-114540,HONDA CIVIC 2014 2.0 LXR 16V 4P FLEX AUTOMÁTICO - Carango 114540
COROLLA,TOYOTA,129000.0,36089,automatico,flex,Prata,2021,False,SERTANEJO VEÍCULOS,https://carango.com.br/veiculo/toyota-corolla-2021-2-0-vvt-ie-flex-xei-direct-shift-flex-114539,TOYOTA COROLLA 2021 2.0 VVT-IE FLEX XEI DIRECT SHIFT - Carango 114539
HR-V,HONDA,84900.0,,automatico,flex,Marrom,2016,False,SERTANEJO VEÍCULOS,https://carango.com.br/veiculo/honda-hr-v-2016-1-8-16v-flex-ex-4p-automatico-flex-114538,HONDA HR-V 2016 1.8 16V FLEX EX 4P AUTOMATICO - Carango 114538
RANGER,FORD,225000.0,10293,automatico,diesel,Cinza,2022,False,Gama Seminovos ,https://carango.com.br/veiculo/ford-ranger-2022-3-2-storm-4x4-cd-20v-diesel-4p-autom-tico-diesel-114537,FORD RANGER 2022 3.2 STORM 4X4 CD 20V DIESEL 4P AUTOM  TICO - Carango 114537
STRADA,FIAT,56500.0,,manual,flex,Branco,2017,False,SERTANEJO VEÍCULOS,https://carango.com.br/veiculo/fiat-strada-2017-1-4-mpi-working-cs-8v-flex-2p-manual-flex-114536,FIAT STRADA 2017 1.4 MPI WORKING CS 8V FLEX 2P MANUAL - Carango 114536
ONIX,CHEVROLET,80900.0,44526,automatico,flex,Branco,2020,False,SERTANEJO VEÍCULOS,https://carango.com.br/veiculo/chevrolet-onix-2020-1-0-sedan-plus-12v-tb-flex-automatico-gasolina-114535,CHEVROLET ONIX 2020 1.0 SEDAN PLUS 12V TB FLEX AUTOMATICO - Carango 114535
KA,FORD,55000.0,108205,manual,flex,Preto,2016,False,RAFA VEÍCULOS,https://carango.com.br/veiculo/ford-ka-2016-1-0-12v-flex-4p-manual-flex-114531,FORD KA 2016 1.0 12V FLEX 4P MANUAL - Carango 114531
VIRTUS,VOLKSWAGEN,75000.0,103000,manual,flex,Branco,2020,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/volkswagen-virtus-2020-1-6-msi-total-flex-manual-flex-114528,VOLKSWAGEN VIRTUS 2020 1.6 MSI TOTAL FLEX MANUAL - Carango 114528
VERSA,NISSAN,58000.0,72000,manual,flex,Prata,2019,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/nissan-versa-2019-1-6-s-16v-flex-4p-manual-flex-114527,NISSAN VERSA 2019 1.6 S 16V FLEX 4P MANUAL - Carango 114527
S10,CHEVROLET,A Combinar,,manual,flex,Branco,2019,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/chevrolet-s10-2019-2-4-ltz-4x2-flex-cd-manual-114526,CHEVROLET S10 2019 2.4 LTZ 4X2 FLEX CD MANUAL - Carango 114526
HILUX,TOYOTA,150000.0,,manual,flex,Branco,2018,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/toyota-hilux-2018-2-7-sr-4x2-cd-16v-flex-4p-manual-114525,TOYOTA HILUX 2018 2.7 SR 4X2 CD 16V FLEX 4P MANUAL - Carango 114525
COROLLA,TOYOTA,A Combinar,,automatico,gasolina,Branco,2017,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/toyota-corolla-2017-1-6-gli-16v-gasolina-4p-automatico-114524,TOYOTA COROLLA 2017 1.6 GLI 16V GASOLINA 4P AUTOMÁTICO - Carango 114524
ONIX,CHEVROLET,A Combinar,,manual,flex,Branco,2019,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/chevrolet-onix-2019-1-0-mpfi-lt-8v-flex-4p-manual-flex-114523,CHEVROLET ONIX 2019 1.0 MPFI LT 8V FLEX 4P MANUAL - Carango 114523
GOL,VOLKSWAGEN,A Combinar,,manual,flex,Branco,2020,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/volkswagen-gol-2020-1-0-mi-comfortline-8v-flex-4p-manual-flex-114522,VOLKSWAGEN GOL 2020 1.0 MI COMFORTLINE 8V FLEX 4P MANUAL - Carango 114522
VIRTUS,VOLKSWAGEN,A Combinar,,automatico,flex,Preto,2020,False,CASARÃO VEICULOS,https://carango.com.br/veiculo/volkswagen-virtus-2020-1-6-msi-confortline-automatico-flex-114521,VOLKSWAGEN VIRTUS 2020 1.6 MSI CONFORTLINE AUTOMÁTICO - Carango 114521
